Date,Open,High,Low,Close,Adj Close,Volume
2022-09-16,91.150002,92.099998,90.650002,91.309998,90.335564,11987600
2022-09-19,90.889999,92.550003,90.830002,92.139999,91.156715,6287000
2022-09-20,91.660004,92.019997,90.099998,90.790001,89.821121,6560000
2022-09-21,91.290001,91.519997,88.570000,88.599998,87.654488,8806800
2022-09-22,88.000000,88.019997,84.379997,84.699997,83.796104,9953000
2022-09-23,83.900002,84.440002,83.230003,84.169998,83.271767,7153200
2022-09-26,84.309998,86.029999,84.279999,84.809998,83.904938,7583500
2022-09-27,85.970001,86.500000,83.169998,84.279999,83.380592,8628800
2022-09-28,84.680000,87.480003,84.250000,87.110001,86.180389,7850800
2022-09-29,86.809998,87.339996,85.610001,86.570000,85.646149,6881500
2022-09-30,86.570000,86.699997,84.150002,84.260002,83.360809,7737500
2022-10-03,84.750000,86.220001,83.800003,85.620003,84.706291,6739900
2022-10-04,87.089996,88.949997,86.860001,88.510002,87.565453,5982400
2022-10-05,87.730003,90.639999,87.550003,90.120003,89.158272,7980800
2022-10-06,90.190002,90.900002,89.260002,89.349998,88.396484,6893800
2022-10-07,88.540001,88.900002,86.300003,87.029999,86.101242,6606400
2022-10-10,87.010002,87.570000,86.129997,87.059998,86.130920,5092400
2022-10-11,86.709999,87.199997,85.639999,86.209999,85.289993,5531300
2022-10-12,87.000000,88.059998,86.410004,86.870003,85.942955,5261900
2022-10-13,85.089996,89.970001,84.709999,89.370003,88.416275,7616600
2022-10-14,90.010002,90.699997,86.239998,86.370003,85.448288,6315200
2022-10-17,87.900002,89.220001,87.809998,88.900002,87.951286,6255300
2022-10-18,90.110001,90.470001,88.080002,88.959999,88.010643,5484400
2022-10-19,88.389999,89.129997,87.010002,87.519997,86.586014,6473400
2022-10-20,87.330002,88.230003,86.470001,86.790001,85.863808,4540700
2022-10-21,87.000000,88.970001,86.559998,88.610001,87.664383,9088800
2022-10-24,86.900002,87.510002,82.430000,83.760002,82.866142,16499300
2022-10-25,84.099998,86.000000,84.099998,85.209999,84.300667,10674000
2022-10-26,85.610001,88.230003,85.480003,85.889999,84.973412,9987000
2022-10-27,86.129997,86.400002,84.080002,85.279999,84.369919,9524600
2022-10-28,85.169998,87.790001,84.309998,87.099998,86.170494,8284900
2022-10-31,86.599998,87.570000,85.949997,86.589996,85.665932,7401100
2022-11-01,88.059998,88.879997,86.580002,87.099998,86.170494,6219600
2022-11-02,87.269997,88.580002,84.529999,84.580002,83.677391,7653200
2022-11-03,84.070000,85.470001,82.970001,84.680000,83.776321,8855100
2022-11-04,91.980003,93.599998,90.519997,91.860001,90.879700,20194300
2022-11-07,91.669998,92.360001,89.279999,90.449997,89.484741,10190200
2022-11-08,90.919998,93.779999,90.919998,92.750000,91.760208,9675500
2022-11-09,91.610001,92.599998,91.339996,91.629997,91.173141,6271200
2022-11-10,93.889999,96.419998,93.330002,96.260002,95.780060,10408400
2022-11-11,96.760002,98.669998,96.570000,97.379997,96.894470,8294400
2022-11-14,97.129997,98.559998,96.690002,97.419998,96.934273,8521100
2022-11-15,98.910004,99.529999,97.290001,97.830002,97.342232,6410000
2022-11-16,96.519997,97.959999,96.260002,97.070000,96.586021,5348900
2022-11-17,95.209999,97.010002,95.099998,96.970001,96.486519,5245600
2022-11-18,97.750000,98.349998,97.129997,97.949997,97.461632,5964800
2022-11-21,96.989998,98.489998,96.699997,98.320000,97.829788,4499200
2022-11-22,98.500000,98.730003,97.519997,98.430000,97.939240,5398600
2022-11-23,98.489998,100.080002,98.269997,99.519997,99.023804,5944900
2022-11-25,99.639999,99.879997,98.519997,99.559998,99.063606,2320000
2022-11-28,98.989998,100.160004,98.559998,98.660004,98.168098,5257300
2022-11-29,98.959999,99.330002,98.199997,98.660004,98.168098,4423900
2022-11-30,99.050003,102.559998,98.519997,102.199997,101.690445,15000800
2022-12-01,102.330002,103.559998,101.949997,103.370003,102.854614,7452300
2022-12-02,102.019997,105.540001,101.820000,105.050003,104.526237,7916900
2022-12-05,103.389999,104.239998,103.000000,103.550003,103.033714,9285800
2022-12-06,103.820000,104.190002,101.440002,102.080002,101.571045,8383000
2022-12-07,101.290001,102.970001,101.059998,101.870003,101.362091,4194300
2022-12-08,102.739998,103.910004,102.400002,103.739998,103.222763,5465100
2022-12-09,103.430000,103.500000,101.750000,101.790001,101.282486,7999600
2022-12-12,101.129997,102.849998,100.820000,102.699997,102.187950,5796000
2022-12-13,104.820000,105.199997,100.989998,102.110001,101.600891,7066000
2022-12-14,102.320000,103.300003,100.699997,102.190002,101.680496,5624000
2022-12-15,101.209999,101.550003,99.449997,99.989998,99.491463,7244400
2022-12-16,99.279999,99.540001,98.019997,98.830002,98.337250,13862300
2022-12-19,98.430000,98.809998,97.730003,98.300003,97.809891,5771100
2022-12-20,98.190002,98.580002,97.269997,98.000000,97.511383,4533500
2022-12-21,96.720001,99.070000,96.349998,98.669998,98.178040,5566300
2022-12-22,98.449997,98.559998,96.169998,97.760002,97.272583,4756900
2022-12-23,97.589996,98.300003,96.879997,98.269997,97.780037,3944500
2022-12-27,98.570000,99.459999,98.209999,99.199997,98.705399,4402500
2022-12-28,99.410004,99.910004,98.389999,98.599998,98.108391,3491500
2022-12-29,99.000000,100.650002,98.669998,99.769997,99.272560,3976100
2022-12-30,99.190002,99.250000,98.239998,99.199997,98.705399,3987800
